Name	Sample	Time_cat	Time	Group	Oleuropein	Hydroxytyrosol 	Oleoside-methyl-ester	OLE-aglycon	Hydroxylated OLE	EA derivate	OLE-ag derivate	Elenolic acid	OLE-derivate
OLE1_T0	OLE1	T0	0	1	1233072,5	223,884	7173,873	3404,86	66163,836	0	21,874	194,244	0
OLE1_G	OLE1	G	1	1	1429932,5	0	4,752	23464,053	76232,93	0	0	0	0
OLE1_SI	OLE1	SI	2,5	1	530441,125	205,545	42745,465	2302,33	122267,375	0	0	1768,422	2590,817
OLE1_C2	OLE1	C2	4,5	1	3452,899	242,004	22829,455	2169,201	10625,171	0	73,532	961,367	445,547
OLE1_C4	OLE1	C4	6,5	1	2102,748	207,126	18308,17	2027,646	853,08	0,76	122,612	915,321	224,894
OLE1_C6	OLE1	C6	8,5	1	1660,893	164,741	11266,991	1492,682	73,845	92,927	272,476	847,792	15,359
OLE1_C12	OLE1	C12	14,5	1	442,056	293,709	836,631	2030,24	0	991,75	1345,352	1118,666	0,571
OLE1_C18	OLE1	C18	20,5	1	601,289	394,582	111,579	2371,215	33,443	1347,983	1990,109	1135,962	0
OLE1_C24	OLE1	C24	26,5	1	1208,955	418,272	94,377	1994,209	17,678	1117,226	1627,823	1030,523	0
OLE1_C30	OLE1	C30	32,5	1	751,128	507,991	84,818	2407,884	0	1375,718	1617	1152,686	0
OLE1_C36	OLE1	C36	38,5	1	860,461	568,415	86,251	2561,668	30,271	1424,861	1796,241	1215,776	12,938
OLE1_C42	OLE1	C42	44,5	1	841,438	630,017	79,069	2119,643	1,786	1351,659	1581,273	1140,59	0
OLE1_C48	OLE1	C48	50,5	1	868,573	522,355	29,048	1668,929	17,204	883,037	912,897	812,384	0
OLE1_C54	OLE1	C54	56,5	1	978,202	588,105	68,729	1941,44	3,578	1168,951	1300,912	858,962	0
OLE1_C60	OLE1	C60	62,5	1	1297,698	791,159	80,149	1890,113	0	1171,078	1152,172	841,531	7,961
OLE1_C66	OLE1	C66	68,5	1	1570,103	820,11	71,254	1724,33	0	1047,841	979,746	811,855	1,003
OLE1_C72	OLE1	C72	74,5	1	1417,942	877,548	68,008	1858,818	19,609	1222,47	711,521	860,572	0
OLE2_T0	OLE2	T0	0	1	1379045	342,277	13237,986	4595,987	74784,406	0	0	307,558	0
OLE2_G	OLE2	G	1	1	1509155,125	647,218	16561,006	19936,971	79541,516	0	22,894	1081,724	6,48
OLE2_SI	OLE2	SI	2,5	1	624043,875	268,979	36290,113	3941,535	122513,633	4,533	0	1680,754	1279,39
OLE2_C2	OLE2	C2	4,5	1	3781,324	260,268	17351,123	2657,822	8181,145	0	0	841,402	248,996
OLE2_C4	OLE2	C4	6,5	1	1842,129	233,063	13078,094	2478,438	1019,241	0	67,656	835,668	147,338
OLE2_C6	OLE2	C6	8,5	1	1600,602	254,389	9925,719	2572,396	49,874	92,138	126,741	870,577	80,206
OLE2_C12	OLE2	C12	14,5	1	468,504	419,457	607,403	3193,361	0	1057,128	1950,659	1073,712	7,186
OLE2_C18	OLE2	C18	20,5	1	533,218	500,136	86,136	3440,895	0	1190,181	2735,068	1117,357	0
OLE2_C24	OLE2	C24	26,5	1	677,357	452,089	69,346	2766,829	28,324	1060,146	2172,68	959,193	0
OLE2_C30	OLE2	C30	32,5	1	441,672	614,086	51,433	2903,867	1,276	1120,035	2477,996	970,713	4,432
OLE2_C36	OLE2	C36	38,5	1	603,749	647,749	37,225	2798,538	25,989	1104,238	2310,975	920,275	0
OLE2_C42	OLE2	C42	44,5	1	736,243	628,42	0	2635,973	24,864	1287,57	1929,285	1055,549	0
OLE2_C48	OLE2	C48	50,5	1	675,389	582,063	27,316	1817,636	0	810,535	1257,731	651,326	3,83
OLE2_C54	OLE2	C54	56,5	1	792,949	844,188	45,21	2323,177	0	985,101	1477,838	645,301	0
OLE2_C60	OLE2	C60	62,5	1	1088,731	968,65	45,793	2529,364	0	1075,324	1467,077	840,183	0
OLE2_C66	OLE2	C66	68,5	1	1218,384	910,072	34,598	1795,211	0	1162,39	990,443	876,189	0
OLE2_C72	OLE2	C72	74,5	1	1326,976	899,779	46,034	2094,937	16,494	1025,174	1052,804	699,426	0
OLE3_T0	OLE3	T0	0	1	1367261,875	308,636	10392,377	4513,354	74254,672	0	0	238,625	0
OLE3_G	OLE3	G	1	1	1407873,375	546,628	14494,083	19093,361	79699,883	0	0	1059,694	1,535
OLE3_SI	OLE3	SI	2,5	1	415848,594	196,34	42792,402	1883,218	115560,063	0	0	1568,889	2277,247
OLE3_C2	OLE3	C2	4,5	1	6802,515	214,933	25472,76	2072,92	20159,459	0	118,089	922,53	425,503
OLE3_C4	OLE3	C4	6,5	1	1517,648	199,005	21100,686	1558,588	3883,919	0	97,576	902,817	341,748
OLE3_C6	OLE3	C6	8,5	1	1567,651	204,695	19620,92	2485,625	83,485	108,682	176,554	1129,196	365,391
OLE3_C12	OLE3	C12	14,5	1	406,14	317,906	3522,956	2365,594	16,733	1533,522	1490,923	1237,375	10,928
OLE3_C18	OLE3	C18	20,5	1	501,15	382,261	419,603	2477,205	16,89	1783,758	1923,016	1322,356	0
OLE3_C24	OLE3	C24	26,5	1	571,265	316,586	113,224	1923,795	30,285	1635,655	1378,138	1128,209	0
OLE3_C30	OLE3	C30	32,5	1	556,25	360,513	52,254	1780,825	0	1543,713	1421,181	996,144	0
OLE3_C36	OLE3	C36	38,5	1	565,638	456,835	63,275	2342,525	14,329	1813,794	1722,578	1237,886	0
OLE3_C42	OLE3	C42	44,5	1	618,339	524,571	81,395	2304,049	0	1884,747	1604,095	1150,985	0,923
OLE3_C48	OLE3	C48	50,5	1	733,736	306,117	33,31	1189,688	0	966,797	798,243	612,972	0
OLE3_C54	OLE3	C54	56,5	1	786,777	503,199	43,993	1727,102	0	1459,139	1248,125	813,108	0
OLE3_C60	OLE3	C60	62,5	1	1045,839	602,244	71,105	1849,357	5,646	1602,385	1125,757	929,166	0
OLE3_C66	OLE3	C66	68,5	1	1303,109	997,871	47,455	2362,528	27,586	1071,682	1065,418	733,945	0
OLE3_C72	OLE3	C72	74,5	1	1193,15	536,247	60,604	1184,208	29,2	1167,925	589,82	690,567	0
OLE1_T0	OLE1	T0	0	2	1262241,125	513,238	11281,665	4874,116	90286,219	0	0	296,665	0
OLE1_G	OLE1	G	1	2	1482512,5	893,115	16852,227	17793,51	118887,469	0	209,954	703,515	0
OLE1_SI	OLE1	SI	2,5	2	665328,625	388,293	26585,006	3745,513	100834,797	0	0	1129,063	48,042
OLE1_C2	OLE1	C2	4,5	2	495,563	654,775	19068,295	4053,803	2559,132	13,946	570,506	977,07	0
OLE1_C4	OLE1	C4	6,5	2	197,666	809,554	10811,317	4113,195	32,091	175,466	1466,665	941,242	20,45
OLE1_C6	OLE1	C6	8,5	2	177,972	866,622	4439,386	3817,496	37,978	412,957	2190,647	976,033	0
OLE1_C12	OLE1	C12	14,5	2	188,71	1397,729	0	4373,67	0	920,096	3681,935	1306,508	0
OLE1_C18	OLE1	C18	20,5	2	0	2022,295	52,747	4506,148	10,322	1225,585	3265,452	1559,214	0
OLE1_C24	OLE1	C24	26,5	2	0	1922,554	41,207	3561,624	0	1197,761	2550,959	1363,379	3,834
OLE1_C30	OLE1	C30	32,5	2	249,495	2743,582	64,806	3685,668	0	1403,645	2369,609	1541,409	9,499
OLE1_C36	OLE1	C36	38,5	2	308,442	2324,786	55,062	3233,885	0	1226,498	1888,135	1268,417	0
OLE1_C42	OLE1	C42	44,5	2	374,606	3050,203	3,275	3421,511	28,095	1516,785	1900,074	1371,67	0
OLE1_C48	OLE1	C48	50,5	2	332,714	2195,782	1,163	2781,862	21,669	1097,503	1387,835	954,05	6,12
OLE1_C54	OLE1	C54	56,5	2	655,462	1964,981	20,03	2453,188	0	918,792	1377,838	710,247	0
OLE1_C60	OLE1	C60	62,5	2	965,39	3100,313	59,369	3251,832	24,279	1365,768	1425,789	1109,182	0
OLE1_C66	OLE1	C66	68,5	2	1407,807	2969,324	80,855	3278,383	0	1226,549	1727,843	912,794	0
OLE1_C72	OLE1	C72	74,5	2	226,529	3162,597	46,464	3251,246	24,025	1232,685	1707,658	874,205	0
OLE2_T0	OLE2	T0	0	2	1368764,875	556,684	14172,623	5557,522	92329,75	0	0	351,822	0
OLE2_G	OLE2	G	1	2	1329631,125	979,045	19478,785	18904,238	109598,32	0	0	643,9	0
OLE2_SI	OLE2	SI	2,5	2	227275,203	298,265	120341,641	143,785	121881,781	0	0	4085,767	2530,775
OLE2_C2	OLE2	C2	4,5	2	0	333,052	93829,32	303,746	791,893	14,13	238,378	3036,449	1706,745
OLE2_C4	OLE2	C4	6,5	2	0	306,158	66454,453	300,802	56,446	364,713	580,023	3251,343	494,587
OLE2_C6	OLE2	C6	8,5	2	100,109	359,7	33525,668	313,369	23,486	994,971	886,523	3141,692	0
OLE2_C12	OLE2	C12	14,5	2	144,461	549,058	2346,829	385,282	0	2120,045	1006,934	4166,276	31,253
OLE2_C18	OLE2	C18	20,5	2	100,04	599,363	117,657	299,363	3,709	2366,609	966,702	4275,387	0
OLE2_C24	OLE2	C24	26,5	2	132,458	687,635	56,261	376,045	0	2424,609	855,124	3856,722	0
OLE2_C30	OLE2	C30	32,5	2	132,133	734,354	71,67	334,36	24,766	2408,213	642,159	3831,219	16,242
OLE2_C36	OLE2	C36	38,5	2	19,029	670,334	71,382	223,765	0	2181,469	328,615	3217,433	0
OLE2_C42	OLE2	C42	44,5	2	186,914	775,491	36,891	274,193	0	2480,668	613,604	3768,647	0
OLE2_C48	OLE2	C48	50,5	2	73,423	616,951	35,852	236,386	3,447	1733,608	459,86	2528,778	0
OLE2_C54	OLE2	C54	56,5	2	373,646	0,537	0	189,765	0	336,05	419,215	1979,99	0
OLE2_C60	OLE2	C60	62,5	2	646,169	718,588	51,509	211,003	0	1805,928	515,746	2476,104	0
OLE2_C66	OLE2	C66	68,5	2	926,287	693,056	38,417	232,614	19,659	1886,757	489,856	2404,794	0
OLE2_C72	OLE2	C72	74,5	2	152,661	759,065	42,431	260,785	16,943	1797,583	501,933	2326,337	0
OLE3_T0	OLE3	T0	0	2	1267190,875	402,018	10021,745	5289,912	96432,5	0	0	317,803	0
OLE3_G	OLE3	G	1	2	1400364,375	777,593	15663,978	18995,949	119212,563	0	0	701,947	2,137
OLE3_SI	OLE3	SI	2,5	2	265861,219	334,67	108793,547	394,467	126726,18	4,24	0	3650,609	2826,494
OLE3_C2	OLE3	C2	4,5	2	152,422	289,36	76815,523	534,542	586,572	29,017	223,669	2508,836	2003,466
OLE3_C4	OLE3	C4	6,5	2	68,449	333,567	55410,012	545,515	2,211	290,692	978,553	2989,012	846,329
OLE3_C6	OLE3	C6	8,5	2	0	331,67	24959,629	453,377	0	770,225	1023,933	2629,816	112,121
OLE3_C12	OLE3	C12	14,5	2	89,724	581,329	1489,415	564,436	6,405	1673,84	1592,613	3423,785	2,136
OLE3_C18	OLE3	C18	20,5	2	44,751	549,189	121,259	547,556	0	1645,504	1020,837	2923,655	23,513
OLE3_C24	OLE3	C24	26,5	2	83,871	770,851	67,836	609,164	16,96	2028,524	1163,474	3477,733	0
OLE3_C30	OLE3	C30	32,5	2	83,404	719,731	55,634	560,866	0	2020,527	947,509	3223,286	1,788
OLE3_C36	OLE3	C36	38,5	2	28,797	706,942	58,873	444,048	0	1781,02	620,791	2727,785	0
